time_step,positions
55,"[(11, 0), (8, 10), (12, 15), (4, 15), (0, 2), (8, 4), (13, 8), (6, 11), (0, 7), (8, 13), (3, 5), (11, 4), (6, 8), (1, 6), (9, 15), (5, 7), (0, 2), (0, 0), (2, 14), (10, 1), (14, 10), (4, 14), (4, 1), (13, 1), (0, 0), (9, 11), (8, 13), (7, 15), (4, 9), (7, 2), (8, 13), (14, 10), (14, 10), (15, 11), (4, 1), (7, 2), (9, 7), (3, 3), (8, 0), (11, 3), (2, 6), (8, 4), (12, 6), (1, 1), (6, 10), (10, 1), (11, 6), (8, 11), (10, 1), (6, 5), (11, 11), (14, 3), (5, 4), (10, 6), (14, 10), (7, 4), (1, 10), (11, 12), (6, 9), (10, 6), (14, 1), (4, 1), (13, 1), (4, 13), (14, 12), (5, 15), (10, 6), (8, 5), (2, 14), (11, 13), (2, 8), (11, 0), (2, 9), (4, 11), (10, 12), (1, 4), (4, 4), (13, 13), (5, 1), (0, 8), (5, 1), (8, 5), (2, 14), (3, 2), (13, 10), (2, 14), (13, 9), (4, 13), (13, 1), (1, 1), (12, 0), (2, 10), (13, 13), (4, 14), (13, 8), (0, 13), (4, 4), (3, 8), (7, 15), (4, 14), (11, 3), (8, 11), (5, 1), (6, 6), (4, 1), (14, 4), (2, 5), (6, 11), (1, 1), (13, 10), (12, 11), (7, 1), (5, 6), (11, 7), (11, 3), (7, 4), (4, 7), (5, 12), (13, 15), (7, 2), (8, 0), (5, 12), (12, 7), (4, 14), (14, 0), (12, 6), (6, 8), (4, 14), (8, 5), (8, 4), (0, 15), (4, 1), (6, 8), (0, 15), (8, 5), (13, 8), (8, 0), (8, 13), (0, 8), (11, 3), (6, 8), (11, 12), (7, 2), (0, 7), (11, 11), (3, 11), (1, 11), (7, 2), (6, 10), (9, 8), (2, 6), (10, 10), (7, 2), (1, 11), (7, 4), (14, 7), (8, 13), (4, 2), (12, 11), (9, 9), (1, 3), (5, 12), (1, 3), (10, 1), (9, 8), (5, 11), (1, 3), (8, 0), (8, 0), (13, 10), (7, 4), (1, 1), (11, 4), (10, 1), (8, 4), (0, 7), (1, 1), (7, 4), (15, 5), (3, 15), (11, 3), (11, 7), (4, 1)]"
56,"[(12, 0), (8, 10), (12, 15), (4, 13), (0, 0), (8, 4), (12, 7), (6, 11), (1, 6), (8, 13), (1, 3), (11, 3), (6, 10), (1, 6), (9, 13), (6, 6), (1, 1), (1, 1), (2, 14), (10, 1), (14, 10), (5, 12), (5, 1), (14, 3), (0, 2), (9, 11), (8, 13), (9, 14), (6, 8), (7, 4), (7, 15), (15, 8), (14, 12), (14, 11), (4, 1), (7, 2), (11, 7), (1, 3), (7, 2), (11, 4), (2, 5), (8, 4), (13, 5), (1, 1), (4, 11), (10, 1), (12, 6), (8, 12), (11, 3), (6, 5), (13, 9), (15, 3), (5, 4), (10, 6), (14, 11), (7, 4), (1, 8), (13, 13), (6, 11), (9, 7), (14, 0), (4, 1), (14, 1), (4, 11), (14, 12), (7, 15), (10, 7), (8, 5), (2, 14), (11, 12), (4, 7), (12, 0), (3, 10), (5, 12), (10, 12), (1, 4), (5, 4), (13, 13), (5, 1), (0, 10), (5, 1), (8, 4), (2, 14), (3, 2), (14, 12), (0, 13), (13, 8), (2, 14), (12, 3), (3, 3), (10, 1), (2, 8), (13, 13), (4, 13), (13, 9), (1, 11), (4, 2), (1, 8), (7, 15), (5, 12), (13, 1), (9, 11), (7, 1), (8, 5), (4, 1), (12, 4), (2, 5), (6, 11), (1, 1), (13, 10), (13, 13), (5, 1), (6, 8), (10, 7), (11, 3), (8, 5), (4, 5), (5, 12), (13, 13), (7, 4), (10, 1), (5, 12), (13, 8), (2, 14), (14, 0), (12, 6), (7, 8), (4, 14), (8, 5), (8, 4), (1, 15), (4, 1), (4, 8), (2, 14), (9, 7), (13, 10), (10, 1), (9, 11), (1, 8), (12, 3), (8, 10), (11, 12), (7, 1), (0, 7), (12, 11), (3, 11), (0, 13), (8, 4), (6, 10), (9, 8), (2, 5), (10, 10), (7, 2), (3, 11), (7, 4), (12, 7), (8, 13), (4, 2), (14, 11), (9, 8), (3, 5), (5, 12), (1, 3), (10, 1), (10, 10), (5, 12), (1, 3), (8, 0), (10, 1), (13, 8), (6, 5), (1, 1), (10, 6), (10, 1), (7, 4), (0, 8), (0, 2), (7, 2), (15, 6), (2, 14), (11, 3), (11, 7), (4, 1)]"
57,"[(12, 0), (8, 8), (11, 13), (4, 15), (0, 0), (8, 4), (12, 6), (8, 12), (0, 7), (8, 13), (3, 3), (11, 4), (6, 10), (1, 4), (9, 13), (7, 8), (0, 2), (0, 0), (2, 14), (8, 0), (14, 10), (5, 12), (4, 1), (12, 3), (1, 1), (10, 12), (7, 15), (9, 15), (4, 8), (7, 2), (9, 15), (14, 10), (14, 10), (14, 11), (5, 1), (7, 2), (9, 9), (3, 3), (7, 1), (11, 3), (2, 5), (8, 4), (12, 4), (1, 1), (4, 11), (10, 1), (12, 6), (8, 13), (12, 3), (5, 4), (13, 10), (14, 3), (3, 2), (8, 4), (14, 11), (7, 4), (0, 10), (11, 12), (5, 11), (10, 6), (14, 1), (4, 1), (12, 0), (3, 11), (15, 14), (5, 15), (8, 5), (8, 4), (2, 14), (13, 14), (3, 8), (11, 0), (3, 8), (5, 12), (9, 13), (0, 2), (4, 4), (15, 14), (7, 1), (1, 8), (4, 1), (10, 6), (0, 13), (3, 2), (13, 10), (2, 14), (14, 7), (4, 13), (12, 3), (1, 3), (12, 0), (2, 8), (15, 14), (4, 14), (15, 7), (1, 11), (4, 4), (3, 8), (7, 15), (4, 13), (11, 3), (9, 9), (5, 1), (6, 6), (4, 1), (14, 2), (2, 5), (6, 11), (1, 1), (13, 10), (11, 11), (7, 1), (5, 6), (12, 7), (11, 3), (8, 5), (2, 6), (5, 12), (13, 15), (7, 4), (10, 1), (5, 12), (11, 7), (3, 15), (14, 1), (14, 7), (7, 8), (4, 15), (10, 6), (8, 4), (1, 15), (4, 1), (4, 7), (0, 13), (8, 5), (13, 10), (10, 1), (9, 13), (0, 8), (10, 1), (6, 10), (12, 11), (5, 1), (0, 7), (11, 11), (3, 11), (0, 13), (8, 4), (6, 9), (9, 7), (1, 4), (10, 10), (7, 4), (1, 11), (7, 2), (12, 6), (9, 15), (4, 2), (14, 12), (9, 8), (2, 5), (5, 12), (1, 4), (10, 1), (9, 8), (5, 11), (1, 4), (7, 1), (8, 0), (13, 10), (7, 4), (1, 1), (11, 6), (11, 0), (7, 2), (0, 8), (0, 2), (7, 2), (14, 5), (3, 15), (11, 3), (12, 7), (4, 1)]"
58,"[(13, 1), (9, 8), (11, 13), (4, 14), (0, 0), (8, 4), (13, 8), (8, 11), (1, 6), (8, 13), (3, 5), (11, 3), (7, 8), (1, 4), (10, 15), (5, 6), (0, 2), (1, 1), (2, 14), (10, 1), (15, 8), (5, 12), (5, 1), (12, 3), (0, 0), (10, 10), (7, 15), (9, 15), (4, 8), (8, 4), (8, 13), (14, 10), (14, 11), (14, 12), (5, 1), (7, 1), (9, 8), (1, 4), (7, 2), (11, 3), (2, 6), (8, 4), (13, 6), (1, 1), (6, 11), (10, 1), (11, 4), (6, 11), (11, 3), (6, 6), (11, 11), (15, 3), (5, 4), (8, 5), (14, 11), (6, 5), (1, 10), (11, 11), (6, 9), (10, 7), (13, 1), (4, 1), (14, 0), (4, 13), (15, 14), (7, 15), (9, 7), (8, 5), (2, 14), (12, 14), (4, 6), (12, 0), (2, 9), (5, 11), (10, 12), (1, 3), (5, 4), (14, 12), (7, 1), (1, 10), (5, 1), (8, 5), (0, 13), (3, 2), (12, 11), (2, 14), (13, 9), (4, 13), (14, 3), (3, 3), (10, 1), (4, 9), (15, 14), (5, 12), (13, 8), (0, 13), (4, 4), (1, 6), (7, 15), (4, 14), (13, 1), (8, 10), (7, 1), (6, 5), (4, 1), (14, 2), (2, 5), (8, 11), (0, 0), (15, 8), (13, 13), (5, 1), (6, 8), (12, 7), (10, 1), (7, 4), (3, 5), (5, 12), (15, 15), (7, 2), (8, 0), (5, 12), (13, 8), (3, 15), (14, 1), (14, 7), (8, 8), (4, 15), (8, 4), (8, 5), (1, 15), (4, 1), (4, 7), (0, 15), (9, 7), (13, 9), (10, 1), (8, 12), (1, 8), (11, 3), (6, 8), (13, 13), (5, 1), (1, 6), (10, 10), (3, 10), (0, 13), (7, 2), (8, 8), (8, 8), (2, 5), (10, 10), (7, 2), (1, 11), (5, 4), (13, 8), (9, 13), (4, 2), (12, 11), (9, 8), (3, 5), (5, 12), (1, 3), (10, 1), (10, 10), (6, 11), (2, 5), (7, 1), (10, 1), (15, 8), (7, 4), (1, 1), (10, 6), (11, 0), (8, 4), (2, 8), (1, 1), (7, 4), (13, 6), (3, 15), (11, 4), (11, 7), (4, 1)]"
59,"[(13, 1), (8, 10), (12, 14), (5, 15), (0, 2), (8, 4), (13, 6), (8, 12), (0, 7), (8, 12), (3, 3), (11, 3), (6, 9), (1, 4), (11, 15), (6, 6), (1, 1), (0, 0), (2, 14), (10, 1), (14, 10), (4, 14), (4, 1), (13, 1), (0, 2), (11, 12), (7, 15), (9, 14), (4, 9), (7, 2), (9, 13), (14, 10), (13, 10), (14, 11), (5, 1), (7, 1), (9, 9), (3, 3), (8, 0), (11, 4), (1, 4), (8, 4), (13, 4), (1, 1), (5, 11), (10, 1), (12, 6), (8, 12), (11, 3), (6, 5), (13, 10), (14, 5), (5, 4), (10, 6), (15, 11), (7, 4), (0, 10), (11, 12), (6, 9), (9, 7), (13, 1), (4, 1), (14, 0), (2, 11), (15, 14), (5, 15), (10, 6), (8, 5), (2, 14), (13, 14), (4, 7), (12, 0), (3, 8), (4, 11), (10, 12), (1, 3), (5, 4), (13, 14), (7, 1), (0, 10), (4, 1), (8, 5), (2, 14), (1, 1), (14, 11), (2, 14), (13, 9), (4, 14), (12, 3), (3, 3), (12, 0), (2, 9), (13, 13), (4, 14), (14, 7), (2, 11), (4, 2), (1, 6), (7, 15), (5, 12), (12, 3), (8, 10), (7, 1), (8, 5), (4, 1), (12, 3), (4, 5), (6, 9), (0, 0), (13, 8), (11, 13), (7, 2), (6, 8), (10, 7), (11, 3), (8, 4), (2, 5), (5, 12), (13, 13), (7, 2), (10, 1), (5, 12), (13, 8), (2, 14), (13, 1), (14, 7), (8, 8), (4, 14), (8, 5), (8, 4), (0, 15), (4, 1), (6, 9), (2, 14), (8, 5), (13, 9), (10, 1), (9, 13), (0, 8), (10, 1), (8, 8), (11, 11), (7, 2), (1, 6), (12, 11), (3, 11), (0, 13), (7, 2), (7, 8), (9, 7), (2, 5), (10, 10), (7, 4), (3, 11), (7, 2), (13, 6), (9, 14), (4, 4), (14, 12), (10, 10), (1, 3), (5, 12), (1, 3), (10, 1), (10, 10), (5, 12), (3, 5), (8, 0), (8, 0), (13, 10), (7, 4), (1, 1), (11, 6), (10, 1), (7, 4), (1, 8), (1, 3), (7, 2), (15, 7), (2, 14), (11, 4), (10, 7), (4, 1)]"
60,"[(11, 0), (7, 8), (12, 15), (4, 13), (1, 1), (8, 4), (12, 7), (8, 10), (1, 6), (8, 13), (1, 3), (11, 4), (8, 8), (1, 6), (11, 15), (5, 7), (1, 3), (0, 0), (2, 14), (8, 0), (14, 10), (4, 13), (5, 1), (14, 3), (0, 2), (9, 11), (8, 13), (9, 14), (4, 8), (7, 4), (9, 14), (15, 8), (14, 11), (14, 11), (5, 1), (7, 1), (9, 7), (3, 3), (7, 2), (11, 3), (2, 5), (8, 4), (13, 5), (1, 1), (4, 11), (10, 1), (12, 4), (8, 12), (10, 1), (4, 6), (12, 11), (14, 5), (5, 4), (8, 4), (14, 11), (7, 4), (0, 8), (13, 13), (4, 11), (10, 7), (12, 0), (4, 1), (13, 1), (4, 11), (14, 12), (5, 15), (8, 5), (8, 5), (2, 14), (13, 13), (4, 8), (12, 0), (2, 9), (5, 11), (9, 13), (0, 2), (3, 3), (13, 14), (5, 1), (0, 8), (4, 1), (8, 4), (2, 14), (3, 2), (14, 11), (0, 13), (15, 8), (2, 14), (12, 3), (1, 1), (10, 1), (2, 8), (13, 14), (4, 14), (13, 8), (0, 11), (4, 2), (2, 8), (5, 15), (4, 14), (12, 3), (8, 11), (7, 2), (8, 5), (4, 2), (14, 2), (2, 5), (6, 9), (1, 1), (14, 10), (11, 12), (5, 1), (6, 6), (12, 7), (11, 3), (6, 5), (3, 5), (5, 12), (13, 14), (7, 2), (8, 0), (5, 12), (13, 8), (4, 15), (14, 1), (12, 7), (8, 8), (4, 15), (8, 4), (8, 4), (1, 15), (4, 1), (4, 8), (0, 15), (9, 7), (13, 9), (8, 0), (8, 12), (0, 10), (10, 1), (8, 10), (11, 12), (5, 1), (1, 6), (11, 11), (3, 10), (1, 11), (7, 4), (8, 10), (8, 8), (1, 6), (10, 10), (7, 2), (2, 11), (5, 4), (13, 8), (9, 14), (4, 2), (14, 12), (9, 9), (2, 5), (5, 12), (1, 4), (10, 1), (9, 8), (6, 11), (2, 5), (7, 1), (10, 1), (14, 10), (6, 5), (1, 1), (10, 6), (10, 1), (7, 4), (0, 8), (1, 3), (7, 4), (13, 6), (1, 15), (11, 3), (12, 7), (4, 1)]"
61,"[(13, 1), (9, 9), (11, 15), (4, 13), (0, 0), (8, 4), (12, 6), (6, 11), (1, 6), (8, 12), (3, 3), (11, 3), (6, 10), (1, 4), (9, 15), (6, 6), (0, 2), (0, 0), (2, 14), (10, 1), (14, 10), (4, 13), (4, 1), (12, 3), (0, 2), (9, 11), (8, 13), (9, 14), (6, 9), (7, 4), (8, 13), (15, 8), (13, 10), (14, 12), (5, 1), (7, 1), (10, 7), (3, 2), (7, 2), (11, 4), (2, 5), (8, 4), (13, 4), (1, 1), (5, 11), (10, 1), (10, 6), (6, 11), (11, 3), (4, 6), (13, 10), (14, 4), (4, 2), (8, 4), (14, 11), (5, 4), (1, 10), (11, 12), (4, 11), (10, 7), (12, 0), (4, 1), (14, 1), (2, 11), (15, 14), (5, 15), (9, 7), (8, 5), (2, 14), (13, 14), (4, 6), (13, 1), (4, 8), (5, 12), (11, 13), (0, 2), (4, 2), (15, 14), (7, 1), (0, 10), (4, 1), (8, 4), (2, 14), (1, 1), (14, 10), (2, 14), (13, 8), (2, 14), (14, 2), (3, 2), (12, 0), (2, 9), (15, 14), (4, 13), (15, 7), (0, 13), (5, 4), (1, 6), (5, 15), (4, 14), (13, 1), (8, 10), (7, 1), (6, 5), (4, 2), (14, 2), (2, 5), (6, 10), (1, 1), (13, 10), (11, 12), (5, 1), (7, 8), (10, 7), (10, 1), (7, 4), (4, 5), (5, 12), (13, 13), (7, 2), (8, 0), (5, 12), (12, 7), (3, 15), (14, 0), (13, 8), (8, 8), (4, 13), (8, 4), (8, 4), (0, 15), (4, 1), (6, 8), (0, 15), (9, 7), (13, 10), (10, 1), (8, 13), (1, 8), (12, 3), (7, 8), (11, 11), (5, 1), (1, 6), (11, 11), (4, 11), (1, 11), (7, 4), (8, 10), (9, 8), (2, 6), (10, 10), (7, 4), (3, 11), (5, 4), (13, 6), (9, 15), (4, 2), (12, 11), (9, 9), (1, 3), (5, 12), (1, 3), (10, 1), (10, 10), (5, 12), (3, 5), (8, 0), (8, 0), (14, 10), (5, 4), (1, 1), (11, 4), (10, 1), (8, 4), (0, 8), (1, 3), (5, 4), (13, 6), (2, 14), (11, 3), (10, 7), (4, 1)]"
62,"[(13, 1), (8, 8), (10, 15), (4, 13), (1, 1), (8, 4), (14, 7), (6, 10), (1, 6), (8, 12), (3, 3), (11, 4), (6, 9), (1, 6), (9, 13), (5, 7), (1, 1), (0, 0), (2, 14), (10, 1), (14, 10), (4, 13), (5, 1), (14, 2), (0, 0), (10, 10), (8, 13), (9, 14), (6, 9), (7, 4), (9, 15), (14, 10), (13, 10), (14, 11), (5, 1), (7, 2), (9, 8), (1, 4), (8, 0), (11, 4), (2, 6), (8, 4), (11, 6), (1, 1), (6, 9), (10, 1), (12, 6), (8, 12), (10, 1), (4, 4), (13, 9), (14, 3), (3, 2), (8, 4), (14, 10), (6, 5), (1, 10), (11, 11), (6, 11), (10, 6), (14, 0), (4, 1), (14, 0), (4, 13), (15, 14), (5, 15), (10, 6), (8, 5), (2, 14), (13, 13), (4, 6), (12, 0), (2, 10), (5, 11), (9, 13), (1, 3), (3, 2), (15, 14), (5, 1), (2, 10), (4, 1), (10, 6), (2, 14), (1, 1), (14, 10), (0, 13), (13, 8), (2, 14), (14, 2), (3, 2), (12, 0), (3, 8), (13, 13), (4, 13), (13, 9), (0, 13), (4, 4), (2, 6), (5, 15), (4, 14), (11, 3), (8, 10), (7, 1), (6, 6), (5, 1), (13, 4), (3, 3), (8, 10), (1, 1), (13, 10), (11, 12), (5, 1), (7, 8), (11, 7), (10, 1), (6, 6), (2, 5), (5, 12), (13, 14), (5, 4), (8, 0), (5, 12), (12, 7), (4, 13), (13, 1), (14, 7), (8, 8), (4, 14), (8, 5), (8, 4), (1, 15), (4, 1), (6, 9), (0, 15), (8, 5), (13, 9), (8, 0), (10, 12), (1, 10), (12, 3), (6, 9), (11, 12), (7, 2), (1, 6), (12, 11), (5, 11), (0, 11), (8, 4), (7, 8), (9, 8), (2, 5), (10, 10), (5, 4), (3, 11), (7, 4), (13, 8), (9, 13), (4, 2), (13, 13), (10, 10), (1, 4), (5, 12), (1, 3), (10, 1), (9, 8), (5, 11), (1, 3), (7, 1), (10, 1), (13, 8), (7, 4), (1, 1), (11, 6), (10, 1), (7, 4), (0, 7), (1, 3), (7, 4), (14, 5), (3, 15), (11, 4), (11, 7), (4, 1)]"
63,"[(11, 0), (8, 10), (10, 15), (4, 14), (1, 1), (8, 4), (12, 6), (6, 11), (1, 6), (8, 13), (1, 4), (11, 4), (6, 10), (1, 4), (11, 15), (6, 6), (0, 2), (0, 0), (2, 14), (8, 0), (15, 8), (5, 12), (4, 1), (13, 1), (1, 1), (10, 10), (7, 15), (9, 14), (4, 9), (7, 2), (9, 14), (14, 10), (13, 10), (15, 11), (5, 1), (7, 2), (9, 7), (1, 3), (7, 2), (11, 4), (1, 4), (8, 4), (13, 4), (1, 1), (6, 9), (10, 1), (12, 4), (8, 13), (11, 3), (5, 4), (12, 11), (14, 3), (3, 3), (8, 4), (15, 11), (5, 4), (0, 10), (13, 13), (6, 9), (8, 5), (14, 0), (4, 2), (12, 0), (2, 11), (14, 12), (7, 15), (10, 7), (8, 4), (2, 14), (12, 14), (4, 8), (13, 1), (4, 9), (5, 12), (10, 12), (1, 4), (3, 2), (13, 13), (7, 1), (0, 8), (5, 1), (8, 4), (2, 14), (3, 2), (14, 12), (0, 13), (15, 7), (2, 14), (14, 1), (1, 3), (12, 0), (3, 10), (14, 12), (4, 14), (15, 8), (1, 11), (5, 4), (1, 8), (7, 15), (4, 14), (11, 3), (10, 10), (5, 1), (6, 5), (4, 1), (14, 3), (4, 4), (6, 11), (0, 0), (15, 8), (12, 11), (7, 1), (7, 8), (10, 7), (11, 3), (8, 5), (2, 6), (5, 12), (15, 14), (7, 2), (10, 1), (5, 12), (12, 7), (4, 14), (12, 0), (14, 7), (6, 6), (4, 13), (8, 5), (8, 5), (0, 13), (4, 1), (4, 9), (1, 15), (9, 7), (13, 9), (10, 1), (8, 12), (1, 8), (12, 3), (7, 8), (12, 11), (7, 2), (1, 6), (12, 11), (5, 11), (0, 13), (7, 2), (8, 10), (8, 8), (1, 4), (10, 10), (7, 2), (2, 11), (7, 4), (14, 7), (9, 13), (5, 4), (14, 11), (9, 8), (3, 5), (5, 12), (1, 4), (10, 1), (10, 10), (5, 11), (2, 5), (7, 1), (10, 1), (15, 8), (6, 5), (1, 1), (11, 6), (10, 1), (7, 2), (2, 6), (1, 1), (7, 2), (14, 7), (3, 15), (11, 4), (11, 7), (4, 1)]"
64,"[(12, 0), (8, 10), (11, 13), (4, 14), (0, 0), (8, 4), (12, 6), (8, 12), (0, 7), (8, 12), (3, 5), (11, 3), (6, 8), (1, 6), (10, 15), (5, 7), (1, 1), (1, 1), (2, 14), (8, 0), (15, 8), (4, 14), (5, 1), (14, 2), (0, 2), (10, 10), (8, 13), (7, 15), (6, 9), (8, 4), (8, 13), (14, 10), (14, 10), (14, 11), (4, 1), (7, 2), (9, 8), (1, 4), (8, 0), (11, 3), (1, 6), (8, 4), (12, 4), (1, 1), (4, 9), (10, 1), (11, 6), (6, 11), (10, 1), (4, 6), (13, 9), (15, 5), (4, 4), (10, 6), (14, 11), (5, 4), (1, 10), (11, 11), (6, 10), (10, 6), (14, 1), (4, 1), (13, 1), (2, 11), (15, 14), (7, 15), (8, 5), (8, 5), (2, 14), (13, 13), (2, 6), (11, 0), (3, 10), (4, 11), (11, 13), (1, 3), (3, 2), (15, 14), (5, 1), (1, 10), (5, 1), (8, 5), (2, 14), (1, 1), (12, 11), (2, 14), (13, 9), (2, 14), (14, 3), (1, 1), (10, 1), (3, 8), (13, 13), (4, 14), (14, 7), (2, 11), (4, 4), (2, 8), (5, 15), (4, 14), (13, 1), (9, 9), (7, 2), (8, 5), (4, 1), (13, 4), (4, 4), (8, 11), (1, 1), (15, 8), (13, 13), (7, 2), (6, 8), (10, 7), (11, 3), (7, 4), (3, 5), (5, 12), (13, 14), (5, 4), (8, 0), (5, 12), (13, 8), (4, 14), (14, 1), (12, 7), (8, 8), (5, 15), (8, 5), (8, 5), (1, 15), (4, 1), (4, 8), (0, 15), (9, 7), (13, 9), (10, 1), (8, 13), (1, 10), (11, 3), (6, 10), (11, 13), (7, 1), (1, 6), (12, 11), (3, 11), (1, 11), (8, 4), (8, 10), (8, 8), (1, 6), (10, 10), (7, 2), (1, 11), (7, 2), (14, 7), (8, 13), (4, 4), (14, 12), (9, 8), (3, 5), (5, 12), (1, 3), (10, 1), (9, 9), (5, 12), (1, 4), (8, 0), (8, 0), (14, 10), (6, 5), (1, 1), (11, 6), (10, 1), (7, 4), (0, 7), (0, 2), (7, 4), (15, 6), (3, 15), (11, 4), (12, 7), (4, 1)]"
65,"[(11, 0), (7, 8), (12, 14), (4, 13), (1, 1), (8, 4), (14, 7), (8, 10), (0, 7), (8, 12), (1, 4), (11, 3), (7, 8), (1, 6), (9, 14), (6, 8), (1, 1), (0, 0), (2, 14), (8, 0), (15, 8), (5, 12), (5, 1), (14, 1), (0, 2), (11, 11), (8, 13), (7, 15), (6, 9), (8, 4), (8, 13), (15, 8), (14, 10), (14, 11), (5, 1), (7, 1), (9, 7), (1, 3), (7, 1), (11, 4), (1, 6), (8, 4), (12, 6), (1, 1), (4, 9), (10, 1), (11, 6), (8, 11), (12, 3), (4, 6), (12, 11), (14, 5), (4, 2), (8, 5), (14, 11), (7, 4), (0, 8), (11, 12), (5, 11), (10, 6), (14, 0), (3, 2), (14, 0), (4, 13), (14, 12), (7, 15), (8, 5), (8, 4), (2, 14), (13, 14), (2, 6), (11, 0), (2, 8), (5, 12), (11, 13), (1, 4), (5, 4), (14, 12), (5, 1), (0, 10), (4, 1), (8, 4), (2, 14), (1, 1), (14, 10), (0, 13), (13, 9), (4, 14), (14, 2), (3, 3), (11, 0), (2, 10), (15, 14), (4, 13), (13, 8), (2, 11), (5, 4), (2, 6), (7, 15), (4, 13), (13, 1), (8, 11), (7, 2), (6, 5), (4, 1), (14, 3), (3, 5), (6, 10), (1, 1), (13, 8), (13, 13), (7, 1), (5, 7), (10, 7), (11, 3), (6, 5), (3, 5), (5, 12), (15, 15), (7, 2), (8, 0), (5, 12), (12, 7), (4, 15), (13, 1), (12, 7), (6, 6), (5, 15), (10, 6), (8, 4), (0, 13), (4, 1), (6, 8), (0, 13), (8, 5), (13, 10), (10, 1), (9, 11), (1, 8), (12, 3), (7, 8), (11, 12), (5, 1), (1, 6), (12, 11), (3, 10), (0, 13), (7, 4), (8, 10), (8, 8), (2, 6), (10, 10), (7, 2), (2, 11), (7, 2), (13, 6), (8, 13), (5, 4), (14, 11), (9, 8), (1, 4), (5, 12), (1, 3), (10, 1), (9, 9), (6, 11), (3, 3), (8, 0), (8, 0), (13, 9), (7, 4), (1, 1), (10, 6), (10, 1), (7, 2), (2, 8), (0, 2), (5, 4), (15, 7), (1, 15), (11, 4), (12, 7), (4, 1)]"
66,"[(11, 0), (8, 8), (11, 13), (4, 15), (1, 1), (8, 4), (12, 7), (8, 10), (0, 7), (8, 12), (1, 3), (11, 4), (8, 10), (1, 6), (9, 14), (5, 6), (1, 3), (0, 0), (2, 14), (8, 0), (15, 8), (5, 12), (5, 1), (12, 3), (0, 2), (9, 11), (8, 13), (9, 15), (4, 8), (7, 2), (7, 15), (15, 8), (13, 10), (14, 11), (4, 1), (7, 2), (10, 7), (1, 3), (8, 0), (11, 4), (2, 6), (8, 4), (12, 4), (1, 1), (6, 10), (10, 1), (11, 6), (8, 12), (10, 1), (5, 4), (13, 9), (14, 5), (4, 4), (10, 6), (14, 10), (6, 5), (0, 8), (12, 11), (4, 11), (8, 5), (14, 1), (4, 2), (14, 0), (2, 11), (15, 14), (5, 15), (9, 7), (8, 4), (2, 14), (11, 12), (4, 8), (11, 0), (2, 9), (5, 12), (9, 14), (0, 2), (4, 2), (14, 12), (7, 1), (1, 10), (4, 1), (8, 4), (0, 13), (3, 2), (14, 12), (2, 14), (15, 7), (4, 14), (13, 1), (1, 3), (12, 0), (2, 9), (13, 13), (4, 13), (13, 9), (0, 13), (4, 4), (3, 8), (5, 15), (4, 13), (11, 3), (8, 10), (7, 2), (6, 6), (4, 1), (14, 2), (3, 5), (8, 10), (0, 0), (14, 10), (11, 13), (7, 1), (5, 7), (11, 7), (10, 1), (8, 5), (2, 5), (5, 12), (13, 14), (7, 4), (10, 1), (5, 12), (11, 7), (4, 15), (13, 1), (14, 7), (6, 6), (4, 15), (8, 4), (8, 4), (0, 13), (4, 1), (4, 8), (0, 13), (9, 7), (13, 8), (10, 1), (8, 12), (1, 8), (10, 1), (8, 8), (11, 13), (7, 1), (1, 6), (11, 11), (5, 11), (0, 11), (7, 2), (8, 8), (8, 8), (1, 4), (10, 10), (5, 4), (1, 11), (5, 4), (12, 7), (9, 13), (5, 4), (12, 11), (10, 10), (3, 3), (5, 12), (1, 4), (10, 1), (10, 10), (6, 11), (3, 3), (7, 1), (8, 0), (14, 10), (5, 4), (1, 1), (11, 6), (11, 0), (8, 4), (1, 6), (1, 3), (7, 4), (15, 6), (2, 14), (11, 4), (10, 7), (4, 1)]"
