time_step,path_id,nodes,cost,time,completed
1,1,"[(0, 0), (0, 1)]",1.0,1,False
1,2,"[(0, 0), (0, 1)]",1.0,1,False
1,3,"[(0, 0), (0, 1)]",1.0,1,False
1,4,"[(0, 0), (0, 1)]",1.0,1,False
1,5,"[(0, 0), (0, 1)]",1.0,1,False
1,6,"[(0, 0), (0, 1)]",1.0,1,False
1,7,"[(0, 16), (0, 15)]",1.0,1,False
1,8,"[(0, 16), (0, 15)]",1.0,1,False
1,9,"[(0, 16), (0, 15)]",1.0,1,False
1,10,"[(0, 16), (0, 15)]",1.0,1,False
1,11,"[(0, 16), (0, 15)]",1.0,1,False
1,12,"[(0, 16), (0, 15)]",1.0,1,False
1,13,"[(6, 31), (5, 31)]",1.0,1,False
1,14,"[(6, 31), (5, 31)]",1.0,1,False
1,15,"[(6, 31), (5, 31)]",1.0,1,False
1,16,"[(6, 31), (5, 31)]",1.0,1,False
1,17,"[(6, 31), (5, 31)]",1.0,1,False
1,18,"[(6, 31), (5, 31)]",1.0,1,False
1,19,"[(14, 8), (14, 7)]",1.0,1,False
1,20,"[(14, 8), (14, 7)]",1.0,1,False
1,21,"[(14, 8), (14, 7)]",1.0,1,False
1,22,"[(14, 8), (14, 7)]",1.0,1,False
1,23,"[(14, 8), (14, 7)]",1.0,1,False
1,24,"[(14, 8), (14, 7)]",1.0,1,False
1,25,"[(20, 23), (20, 22)]",1.0,1,False
1,26,"[(20, 23), (20, 22)]",1.0,1,False
1,27,"[(20, 23), (20, 22)]",1.0,1,False
1,28,"[(20, 23), (20, 22)]",1.0,1,False
1,29,"[(20, 23), (20, 22)]",1.0,1,False
1,30,"[(20, 23), (20, 22)]",1.0,1,False
1,31,"[(28, 0), (27, 0)]",1.0,1,False
1,32,"[(28, 0), (27, 0)]",1.0,1,False
1,33,"[(28, 0), (27, 0)]",1.0,1,False
1,34,"[(28, 0), (27, 0)]",1.0,1,False
1,35,"[(28, 0), (27, 0)]",1.0,1,False
1,36,"[(28, 0), (27, 0)]",1.0,1,False
1,37,"[(30, 31), (31, 31)]",1.0,1,False
1,38,"[(30, 31), (31, 31)]",1.0,1,False
1,39,"[(30, 31), (31, 31)]",1.0,1,False
1,40,"[(30, 31), (31, 31)]",1.0,1,False
1,41,"[(30, 31), (31, 31)]",1.0,1,False
1,42,"[(30, 31), (31, 31)]",1.0,1,False
1,43,"[(30, 15), (31, 15)]",1.0,1,False
1,44,"[(30, 15), (31, 15)]",1.0,1,False
1,45,"[(30, 15), (31, 15)]",1.0,1,False
1,46,"[(30, 15), (31, 15)]",1.0,1,False
1,47,"[(30, 15), (31, 15)]",1.0,1,False
1,48,"[(30, 15), (31, 15)]",1.0,1,False
1,49,"[(25, 1), (25, 0)]",1.0,1,False
1,50,"[(25, 1), (25, 0)]",1.0,1,False
1,51,"[(25, 1), (25, 0)]",1.0,1,False
1,52,"[(25, 1), (25, 0)]",1.0,1,False
1,53,"[(25, 1), (25, 0)]",1.0,1,False
1,54,"[(25, 1), (25, 0)]",1.0,1,False
1,55,"[(17, 22), (17, 23)]",1.0,1,False
1,56,"[(17, 22), (17, 23)]",1.0,1,False
1,57,"[(17, 22), (17, 23)]",1.0,1,False
1,58,"[(17, 22), (17, 23)]",1.0,1,False
1,59,"[(17, 22), (17, 23)]",1.0,1,False
1,60,"[(17, 22), (17, 23)]",1.0,1,False
1,61,"[(10, 8), (11, 8)]",1.0,1,False
1,62,"[(10, 8), (11, 8)]",1.0,1,False
1,63,"[(10, 8), (11, 8)]",1.0,1,False
1,64,"[(10, 8), (11, 8)]",1.0,1,False
1,65,"[(10, 8), (11, 8)]",1.0,1,False
1,66,"[(10, 8), (11, 8)]",1.0,1,False
2,1,"[(0, 0), (0, 1), (1, 2)]",2.414213562373095,2,False
2,2,"[(0, 0), (0, 1), (1, 2)]",2.414213562373095,2,False
2,3,"[(0, 0), (0, 1), (1, 2)]",2.414213562373095,2,False
2,4,"[(0, 0), (0, 1), (1, 2)]",2.414213562373095,2,False
2,5,"[(0, 0), (0, 1), (1, 2)]",2.414213562373095,2,False
2,6,"[(0, 0), (0, 1), (1, 2)]",2.414213562373095,2,False
2,7,"[(0, 16), (0, 15), (1, 14)]",2.414213562373095,2,False
2,8,"[(0, 16), (0, 15), (1, 14)]",2.414213562373095,2,False
2,9,"[(0, 16), (0, 15), (1, 14)]",2.414213562373095,2,False
2,10,"[(0, 16), (0, 15), (1, 14)]",2.414213562373095,2,False
2,11,"[(0, 16), (0, 15), (1, 14)]",2.414213562373095,2,False
2,12,"[(0, 16), (0, 15), (1, 14)]",2.414213562373095,2,False
2,13,"[(6, 31), (6, 30), (7, 29)]",2.414213562373095,2,False
2,14,"[(6, 31), (6, 30), (7, 29)]",2.414213562373095,2,False
2,15,"[(6, 31), (6, 30), (7, 29)]",2.414213562373095,2,False
2,16,"[(6, 31), (6, 30), (7, 29)]",2.414213562373095,2,False
2,17,"[(6, 31), (6, 30), (7, 29)]",2.414213562373095,2,False
2,18,"[(6, 31), (6, 30), (7, 29)]",2.414213562373095,2,False
2,19,"[(14, 8), (14, 7), (15, 6)]",2.414213562373095,2,False
2,20,"[(14, 8), (14, 7), (15, 6)]",2.414213562373095,2,False
2,21,"[(14, 8), (14, 7), (15, 6)]",2.414213562373095,2,False
2,22,"[(14, 8), (14, 7), (15, 6)]",2.414213562373095,2,False
2,23,"[(14, 8), (14, 7), (15, 6)]",2.414213562373095,2,False
2,24,"[(14, 8), (14, 7), (15, 6)]",2.414213562373095,2,False
2,25,"[(20, 23), (20, 22), (20, 21)]",2.0,2,False
2,26,"[(20, 23), (20, 22), (20, 21)]",2.0,2,False
2,27,"[(20, 23), (20, 22), (20, 21)]",2.0,2,False
2,28,"[(20, 23), (20, 22), (20, 21)]",2.0,2,False
2,29,"[(20, 23), (20, 22), (20, 21)]",2.0,2,False
2,30,"[(20, 23), (20, 22), (20, 21)]",2.0,2,False
2,31,"[(28, 0), (27, 0), (26, 1)]",2.414213562373095,2,False
2,32,"[(28, 0), (27, 0), (26, 1)]",2.414213562373095,2,False
2,33,"[(28, 0), (27, 0), (26, 1)]",2.414213562373095,2,False
2,34,"[(28, 0), (27, 0), (26, 1)]",2.414213562373095,2,False
2,35,"[(28, 0), (27, 0), (26, 1)]",2.414213562373095,2,False
2,36,"[(28, 0), (27, 0), (26, 1)]",2.414213562373095,2,False
2,37,"[(29, 31), (30, 31), (31, 31)]",2.0,2,False
2,38,"[(29, 31), (30, 31), (31, 31)]",2.0,2,False
2,39,"[(29, 31), (30, 31), (31, 31)]",2.0,2,False
2,40,"[(29, 31), (30, 31), (31, 31)]",2.0,2,False
2,41,"[(29, 31), (30, 31), (31, 31)]",2.0,2,False
2,42,"[(29, 31), (30, 31), (31, 31)]",2.0,2,False
2,43,"[(29, 15), (30, 15), (31, 15)]",2.0,2,False
2,44,"[(29, 15), (30, 15), (31, 15)]",2.0,2,False
2,45,"[(29, 15), (30, 15), (31, 15)]",2.0,2,False
2,46,"[(29, 15), (30, 15), (31, 15)]",2.0,2,False
2,47,"[(29, 15), (30, 15), (31, 15)]",2.0,2,False
2,48,"[(29, 15), (30, 15), (31, 15)]",2.0,2,False
2,49,"[(23, 1), (24, 1), (25, 0)]",2.414213562373095,2,False
2,50,"[(23, 1), (24, 1), (25, 0)]",2.414213562373095,2,False
2,51,"[(23, 1), (24, 1), (25, 0)]",2.414213562373095,2,False
2,52,"[(23, 1), (24, 1), (25, 0)]",2.414213562373095,2,False
2,53,"[(23, 1), (24, 1), (25, 0)]",2.414213562373095,2,False
2,54,"[(23, 1), (24, 1), (25, 0)]",2.414213562373095,2,False
2,55,"[(17, 21), (17, 22), (17, 23)]",2.0,2,False
2,56,"[(17, 21), (17, 22), (17, 23)]",2.0,2,False
2,57,"[(17, 21), (17, 22), (17, 23)]",2.0,2,False
2,58,"[(17, 21), (17, 22), (17, 23)]",2.0,2,False
2,59,"[(17, 21), (17, 22), (17, 23)]",2.0,2,False
2,60,"[(17, 21), (17, 22), (17, 23)]",2.0,2,False
2,61,"[(9, 10), (10, 9), (11, 8)]",2.8284271247461903,2,False
2,62,"[(9, 10), (10, 9), (11, 8)]",2.8284271247461903,2,False
2,63,"[(9, 10), (10, 9), (11, 8)]",2.8284271247461903,2,False
2,64,"[(9, 10), (10, 9), (11, 8)]",2.8284271247461903,2,False
